PI_Index,PI_Last,PI_First,Institution,City,State,Zip_codes_recruited_from
1,Adolph,Karen,NYU,New York,New York,NA
22,Boudreau,Paul,Ryerson,Toronto,Ontario,NA
2,Casasola,Marianella,Cornell,Ithaca,New York,14850
2,Casasola,Marianella,Cornell,Ithaca,New York,14853
3,Fausey,Caitlin,U of Oregon,Eugene,Oregon,97401
3,Fausey,Caitlin,U of Oregon,Eugene,Oregon,97402
3,Fausey,Caitlin,U of Oregon,Eugene,Oregon,97403
3,Fausey,Caitlin,U of Oregon,Eugene,Oregon,97404
3,Fausey,Caitlin,U of Oregon,Eugene,Oregon,97405
4,Franchak,John,UC Riverside,Riverside,California,92501
4,Franchak,John,UC Riverside,Riverside,California,92503
4,Franchak,John,UC Riverside,Riverside,California,92504
4,Franchak,John,UC Riverside,Riverside,California,92505
4,Franchak,John,UC Riverside,Riverside,California,92506
4,Franchak,John,UC Riverside,Riverside,California,92507
4,Franchak,John,UC Riverside,Riverside,California,92508
4,Franchak,John,UC Riverside,Riverside,California,92509
4,Franchak,John,UC Riverside,Riverside,California,92518
4,Franchak,John,UC Riverside,Riverside,California,92553
4,Franchak,John,UC Riverside,Riverside,California,92557
4,Franchak,John,UC Riverside,Riverside,California,92879
5,Frank,Mike,Stanford U,Palo Alto,California,94301
5,Frank,Mike,Stanford U,Palo Alto,California,94305
23,Gill,Simone,Boston U,Boston,Massachusetts,2108
23,Gill,Simone,Boston U,Boston,Massachusetts,2109
23,Gill,Simone,Boston U,Boston,Massachusetts,2110
23,Gill,Simone,Boston U,Boston,Massachusetts,2111
23,Gill,Simone,Boston U,Boston,Massachusetts,2112
23,Gill,Simone,Boston U,Boston,Massachusetts,2113
23,Gill,Simone,Boston U,Boston,Massachusetts,2114
23,Gill,Simone,Boston U,Boston,Massachusetts,2115
23,Gill,Simone,Boston U,Boston,Massachusetts,2116
23,Gill,Simone,Boston U,Boston,Massachusetts,2117
23,Gill,Simone,Boston U,Boston,Massachusetts,2118
23,Gill,Simone,Boston U,Boston,Massachusetts,2123
23,Gill,Simone,Boston U,Boston,Massachusetts,2127
23,Gill,Simone,Boston U,Boston,Massachusetts,2128
23,Gill,Simone,Boston U,Boston,Massachusetts,2133
23,Gill,Simone,Boston U,Boston,Massachusetts,2163
23,Gill,Simone,Boston U,Boston,Massachusetts,2196
23,Gill,Simone,Boston U,Boston,Massachusetts,2199
23,Gill,Simone,Boston U,Boston,Massachusetts,2201
23,Gill,Simone,Boston U,Boston,Massachusetts,2203
23,Gill,Simone,Boston U,Boston,Massachusetts,2204
23,Gill,Simone,Boston U,Boston,Massachusetts,2205
23,Gill,Simone,Boston U,Boston,Massachusetts,2206
23,Gill,Simone,Boston U,Boston,Massachusetts,2210
23,Gill,Simone,Boston U,Boston,Massachusetts,2211
23,Gill,Simone,Boston U,Boston,Massachusetts,2212
23,Gill,Simone,Boston U,Boston,Massachusetts,2215
23,Gill,Simone,Boston U,Boston,Massachusetts,2217
23,Gill,Simone,Boston U,Boston,Massachusetts,2222
23,Gill,Simone,Boston U,Boston,Massachusetts,2241
23,Gill,Simone,Boston U,Boston,Massachusetts,2266
23,Gill,Simone,Boston U,Boston,Massachusetts,2283
23,Gill,Simone,Boston U,Boston,Massachusetts,2284
23,Gill,Simone,Boston U,Boston,Massachusetts,2293
23,Gill,Simone,Boston U,Boston,Massachusetts,2295
23,Gill,Simone,Boston U,Boston,Massachusetts,2297
23,Gill,Simone,Boston U,Boston,Massachusetts,2298
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90731
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90755
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90802
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90803
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90804
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90806
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90808
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90813
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90814
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90815
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90822
6,Halim,May Ling,CSU Long Beach,Long Beach,California,90831
7,Hauck,Janet,Michigan State,East Lansing,Michigan,48823
7,Hauck,Janet,Michigan State,East Lansing,Michigan,48825
7,Hauck,Janet,Michigan State,East Lansing,Michigan,48906
7,Hauck,Janet,Michigan State,East Lansing,Michigan,48910
7,Hauck,Janet,Michigan State,East Lansing,Michigan,48912
24,Karasik,Lana,College of Staten Island,New York,New York,10301
24,Karasik,Lana,College of Staten Island,New York,New York,10302
24,Karasik,Lana,College of Staten Island,New York,New York,10303
24,Karasik,Lana,College of Staten Island,New York,New York,10304
24,Karasik,Lana,College of Staten Island,New York,New York,10305
24,Karasik,Lana,College of Staten Island,New York,New York,10306
24,Karasik,Lana,College of Staten Island,New York,New York,10307
